"symbol","date","price"
"Bank",201112,0
"Bank",201201,0
"Bank",201202,0
"Bank",201203,1198
"Bank",201204,1261
"Bank",201205,1666
"Bank",201206,1398
"Bank",201207,1301
"Bank",201208,1261
"Bank",201209,1089
"Bank",201210,1209
"Bank",201211,938
"Bank",201212,924
"Bank",201301,1232
"Bank",201302,1081
"Bank",201303,1210
"Bank",201304,1006
"Bank",201305,1020
"Bank",201306,1049
"Bank",201307,1185
"Bank",201308,1116
"Bank",201309,1128
"Bank",201310,1226
"Bank",201311,1049
"Bank",201312,1082
"Bank",201401,1262
"Bank",201402,1180
"Bank",201403,1289
"Bank",201404,1280
"Bank",201405,1234
"Bank",201406,1227
"Bank",201407,1344
"Bank",201408,1179
"Bank",201409,1186
"Bank",201410,1284
"Bank",201411,1073
"Bank",201412,1140
"Bank",201501,1259
"Bank",201502,1108
"Bank",201503,1279
"Bank",201504,208
"Consumer",201112,0
"Consumer",201201,0
"Consumer",201202,0
"Consumer",201203,142
"Consumer",201204,173
"Consumer",201205,258
"Consumer",201206,220
"Consumer",201207,196
"Consumer",201208,221
"Consumer",201209,174
"Consumer",201210,232
"Consumer",201211,176
"Consumer",201212,199
"Consumer",201301,237
"Consumer",201302,209
"Consumer",201303,251
"Consumer",201304,264
"Consumer",201305,258
"Consumer",201306,248
"Consumer",201307,256
"Consumer",201308,270
"Consumer",201309,291
"Consumer",201310,279
"Consumer",201311,247
"Consumer",201312,308
"Consumer",201401,348
"Consumer",201402,311
"Consumer",201403,405
"Consumer",201404,394
"Consumer",201405,295
"Consumer",201406,370
"Consumer",201407,487
"Consumer",201408,601
"Consumer",201409,567
"Consumer",201410,589
"Consumer",201411,505
"Consumer",201412,588
"Consumer",201501,591
"Consumer",201502,585
"Consumer",201503,625
"Consumer",201504,97
"Credit",201112,1267
"Credit",201201,1174
"Credit",201202,1212
"Credit",201203,1382
"Credit",201204,1176
"Credit",201205,1467
"Credit",201206,1703
"Credit",201207,1513
"Credit",201208,1283
"Credit",201209,997
"Credit",201210,1361
"Credit",201211,1085
"Credit",201212,1033
"Credit",201301,1175
"Credit",201302,1136
"Credit",201303,1274
"Credit",201304,1216
"Credit",201305,1069
"Credit",201306,1023
"Credit",201307,1040
"Credit",201308,1078
"Credit",201309,1089
"Credit",201310,1056
"Credit",201311,949
"Credit",201312,1005
"Credit",201401,1197
"Credit",201402,1233
"Credit",201403,1261
"Credit",201404,1299
"Credit",201405,1098
"Credit",201406,1070
"Credit",201407,1164
"Credit",201408,1226
"Credit",201409,1173
"Credit",201410,1096
"Credit",201411,1058
"Credit",201412,1105
"Credit",201501,1140
"Credit",201502,1391
"Credit",201503,1434
"Credit",201504,195
"Creporting",201112,0
"Creporting",201201,0
"Creporting",201202,0
"Creporting",201203,0
"Creporting",201204,0
"Creporting",201205,0
"Creporting",201206,0
"Creporting",201207,0
"Creporting",201208,0
"Creporting",201209,0
"Creporting",201210,373
"Creporting",201211,772
"Creporting",201212,728
"Creporting",201301,919
"Creporting",201302,1062
"Creporting",201303,1097
"Creporting",201304,1155
"Creporting",201305,1204
"Creporting",201306,1111
"Creporting",201307,1252
"Creporting",201308,1259
"Creporting",201309,1442
"Creporting",201310,1287
"Creporting",201311,1301
"Creporting",201312,1300
"Creporting",201401,2358
"Creporting",201402,2544
"Creporting",201403,2583
"Creporting",201404,2554
"Creporting",201405,2294
"Creporting",201406,2472
"Creporting",201407,2656
"Creporting",201408,2662
"Creporting",201409,2483
"Creporting",201410,2264
"Creporting",201411,2180
"Creporting",201412,2194
"Creporting",201501,2668
"Creporting",201502,2380
"Creporting",201503,2532
"Creporting",201504,596
"Debt",201112,0
"Debt",201201,0
"Debt",201202,0
"Debt",201203,0
"Debt",201204,0
"Debt",201205,0
"Debt",201206,0
"Debt",201207,0
"Debt",201208,0
"Debt",201209,0
"Debt",201210,0
"Debt",201211,0
"Debt",201212,0
"Debt",201301,0
"Debt",201302,0
"Debt",201303,0
"Debt",201304,0
"Debt",201305,0
"Debt",201306,0
"Debt",201307,902
"Debt",201308,1497
"Debt",201309,2011
"Debt",201310,1791
"Debt",201311,2442
"Debt",201312,2433
"Debt",201401,3282
"Debt",201402,3370
"Debt",201403,3599
"Debt",201404,3690
"Debt",201405,3207
"Debt",201406,3399
"Debt",201407,3483
