"","ZIP.code","Bank account or service","Consumer loan","Credit card","Credit reporting","Debt collection","Money transfers","Mortgage","Other financial service","Payday loan","Prepaid card","Student loan"
"1",1,0,0,1,0,0,0,0,0,0,0,0
"2",2,0,0,1,0,0,0,0,0,0,0,0
"3",5,0,0,0,1,0,0,0,0,0,0,0
"4",8,1,0,0,0,0,0,0,0,0,0,0
"5",9,0,0,0,1,0,0,0,0,0,0,0
"6",10,4,1,1,0,3,0,1,0,0,0,0
"7",11,1,0,1,1,1,0,0,0,0,0,2
"8",12,1,0,1,0,0,0,0,0,0,0,0
"9",14,1,0,0,0,1,0,0,0,0,0,0
"10",17,0,0,1,1,0,0,0,0,0,0,0
"11",18,0,0,0,1,0,0,0,0,0,0,0
"12",19,1,0,0,0,0,0,0,0,0,0,0
"13",20,1,0,1,0,3,0,0,0,0,0,0
"14",22,1,0,0,1,0,0,0,0,0,0,0
"15",23,1,0,0,0,0,0,0,0,0,0,0
"16",24,1,0,0,0,0,1,0,0,0,0,0
"17",26,1,0,0,0,0,0,0,0,0,0,0
"18",29,1,0,0,0,0,0,0,0,0,0,0
"19",32,1,0,0,0,0,0,0,0,0,0,0
"20",39,0,0,0,0,1,0,0,0,0,0,0
"21",43,0,0,2,0,0,0,0,0,0,0,0
"22",51,0,0,1,0,0,0,0,0,0,0,0
"23",52,0,0,1,0,0,0,0,0,0,0,0
"24",54,1,0,0,0,0,0,0,0,0,0,0
"25",55,1,0,0,0,0,0,0,0,0,0,0
"26",59,0,0,0,0,0,1,0,0,0,0,0
"27",60,0,1,0,0,0,0,0,0,0,0,0
"28",61,1,0,0,0,0,0,0,0,0,0,0
"29",64,0,0,0,0,0,0,0,0,0,0,1
"30",74,1,0,0,0,0,0,0,0,0,0,0
"31",76,0,0,0,1,0,0,0,0,0,0,0
"32",77,0,0,0,2,0,0,0,0,0,0,0
"33",80,0,0,0,0,0,0,1,0,0,0,0
"34",84,0,0,0,1,0,0,0,0,0,0,0
"35",85,1,0,0,0,0,0,0,0,0,0,0
"36",87,0,0,1,0,0,0,1,0,0,0,0
"37",92,1,0,0,0,0,0,0,0,0,0,0
"38",93,1,0,0,0,0,0,0,0,0,0,1
"39",95,0,0,1,0,0,0,0,0,0,0,0
"40",97,0,0,1,0,0,0,0,0,0,0,0
"41",100,1,0,0,0,0,0,0,0,0,0,0
"42",101,0,0,1,0,0,0,0,0,0,0,0
"43",102,1,0,0,0,0,0,0,0,0,0,0
"44",103,0,0,0,1,0,0,0,0,0,0,0
"45",104,1,0,0,0,0,0,0,0,0,0,0
"46",105,0,0,0,1,0,0,0,0,0,0,0
"47",109,0,0,0,0,0,0,0,0,0,0,1
"48",111,0,0,0,0,0,0,1,0,0,0,0
"49",113,0,0,1,0,0,0,0,0,0,0,0
"50",115,1,0,1,0,0,0,0,0,0,0,0
"51",124,1,0,0,0,0,0,0,0,0,0,0
"52",125,0,0,1,0,0,0,0,0,0,0,0
"53",126,1,0,0,0,0,0,0,0,0,0,0
"54",127,0,0,0,0,1,0,1,0,0,0,0
"55",129,1,0,0,2,0,0,0,0,0,0,0
"56",136,0,0,0,0,1,0,0,0,0,0,0
"57",139,1,0,0,0,0,0,0,0,0,0,0
"58",141,0,0,1,0,0,0,0,0,0,0,0
"59",144,0,0,0,1,0,0,0,0,0,0,0
"60",146,0,0,0,0,1,0,0,0,0,0,0
"61",151,1,0,1,0,0,0,0,0,0,0,0
"62",153,0,0,0,0,1,0,0,0,0,0,0
"63",156,1,0,0,0,0,0,0,0,0,0,0
"64",161,0,0,0,0,0,1,0,0,0,0,0
"65",165,0,0,0,0,1,1,0,0,0,0,0
"66",167,0,0,0,0,0,0,1,0,0,0,0
"67",170,0,0,0,0,1,0,0,0,0,0,0
"68",178,0,0,1,0,0,0,0,0,0,0,0
"69",179,1,0,0,0,0,0,1,0,0,0,0
"70",195,0,0,0,0,0,0,0,0,0,0,1
"71",200,0,0,0,0,0,0,1,0,0,0,0
"72",201,1,0,0,1,0,0,0,0,0,0,0
"73",202,0,0,1,0,0,0,0,0,0,0,0
"74",204,1,0,0,0,0,0,0,0,0,0,0
"75",207,0,0,2,0,0,0,0,0,0,0,0
"76",213,1,0,0,0,0,0,0,0,0,0,0
"77",223,1,0,0,0,0,0,0,0,0,0,0
"78",226,0,0,1,0,0,0,0,0,0,0,0
"79",229,0,0,0,0,0,0,0,0,0,0,1
"80",231,0,0,0,0,0,1,0,0,0,0,0
"81",233,0,0,1,0,0,0,0,0,0,0,0
"82",234,0,0,0,0,0,0,0,0,0,0,1
"83",236,0,0,1,0,0,0,0,0,0,0,0
"84",238,1,0,0,0,0,0,0,0,0,0,0
"85",245,0,0,1,0,0,0,0,0,0,0,0
"86",249,1,0,0,0,0,0,1,0,0,0,0
"87",253,1,0,0,0,0,0,0,0,0,0,0
"88",261,0,0,0,0,1,0,0,0,0,0,0
"89",269,0,0,0,1,0,0,0,0,0,0,0
"90",271,0,0,0,0,0,0,2,0,0,0,0
"91",278,1,0,0,0,0,0,0,0,0,0,0
"92",281,1,0,0,0,0,0,0,0,0,0,0
"93",291,0,0,1,0,0,0,0,0,0,0,0
"94",314,0,0,1,0,0,0,0,0,0,0,0
"95",318,1,0,0,0,0,0,0,0,0,0,0
"96",319,1,0,0,0,0,0,0,0,0,0,0
"97",321,0,0,1,0,0,0,0,0,0,0,0
"98",322,1,0,0,0,0,0,0,0,0,0,0
"99",325,0,0,1,0,0,0,0,0,0,0,0
"100",326,0,0,0,0,0,0,0,0,0,0,1
"101",328,0,0,0,0,0,0,1,0,0,0,0
"102",336,1,0,0,0,0,1,0,0,0,0,0
"103",339,0,0,1,0,0,0,0,0,0,0,0
"104",365,1,0,0,0,0,0,0,0,0,0,0
"105",374,1,0,0,0,0,0,0,0,0,0,0
"106",402,1,0,0,0,0,0,0,0,0,0,0
"107",413,0,0,0,0,1,0,0,0,0,0,0
"108",415,0,0,1,0,0,0,0,0,0,0,0
"109",419,1,0,0,0,0,0,0,0,0,0,0
"110",421,0,1,0,0,0,0,0,0,0,0,0
"111",424,0,0,0,0,1,0,0,0,0,0,0
"112",428,1,0,0,0,0,0,0,0,0,0,0
"113",429,0,0,0,1,0,0,0,0,0,0,0
"114",432,0,0,0,0,1,0,0,0,0,0,0
"115",437,1,0,0,0,0,0,0,0,0,0,0
"116",445,1,0,0,0,0,0,0,0,0,0,0
"117",453,0,0,0,1,0,0,0,0,0,0,0
"118",455,0,0,1,0,0,0,0,0,0,0,0
"119",457,1,0,0,0,0,0,0,0,0,0,0
"120",511,2,0,0,0,0,0,0,0,0,0,0
"121",512,0,0,0,0,0,0,0,0,0,0,1
"122",515,0,0,0,0,0,0,0,0,0,0,1
"123",522,0,0,1,0,0,0,0,0,0,0,1
"124",525,1,0,0,0,0,0,0,0,0,0,0
"125",535,0,0,0,0,0,1,0,0,1,0,0
"126",536,1,0,1,0,0,0,0,0,0,0,0
"127",538,1,0,0,0,0,0,0,0,0,0,0
"128",542,0,0,0,0,1,0,0,0,0,0,0
"129",558,0,0,0,0,0,0,1,0,0,0,0
"130",601,0,0,0,0,0,0,0,0,0,0,2
"131",602,1,2,0,2,1,0,0,0,0,0,0
"132",603,5,0,0,7,4,0,1,0,1,0,0
"133",604,0,0,0,3,0,0,0,0,0,0,0
"134",605,2,0,0,3,2,0,1,0,0,0,0
"135",609,0,0,0,0,0,1,0,0,0,0,0
"136",610,0,0,1,2,0,0,0,0,0,0,0
"137",612,2,0,5,5,3,1,2,0,0,0,0
"138",613,0,2,0,0,0,0,0,0,0,0,0
"139",614,0,0,0,1,1,0,0,0,0,0,0
"140",616,0,0,0,0,0,0,0,0,0,0,1
"141",617,0,0,0,0,0,0,1,0,0,0,0
"142",619,0,0,0,0,1,0,0,0,0,0,0
"143",622,1,0,1,0,0,0,0,0,0,0,0
"144",623,0,0,3,4,3,0,3,0,0,0,0
"145",624,0,0,1,0,1,0,0,0,0,0,0
"146",625,0,0,1,0,0,0,0,0,0,0,0
"147",627,0,0,0,3,0,0,0,0,0,0,0
"148",628,0,0,0,0,0,0,0,0,0,0,1
"149",629,1,0,0,0,0,0,0,0,0,0,0
"150",632,0,0,0,0,0,0,0,0,0,0,1
"151",637,2,1,1,1,0,0,0,0,0,0,0
"152",638,0,1,1,0,1,0,0,0,0,0,0
"153",639,0,0,0,1,0,0,0,0,0,0,0
"154",641,2,0,0,2,0,0,0,0,0,0,0
"155",644,0,0,0,0,0,1,0,0,0,0,0
"156",646,1,0,3,1,2,0,5,0,0,0,0
"157",647,0,0,0,1,0,0,0,0,0,0,0
"158",652,0,0,0,1,0,0,0,0,0,0,0
"159",656,0,1,1,1,0,1,0,0,0,0,0
"160",659,1,1,3,0,1,0,0,0,0,0,0
"161",660,0,0,3,0,0,0,0,0,0,0,1
"162",662,1,1,0,8,0,0,5,0,0,0,0
"163",664,1,0,0,3,0,0,0,0,0,0,0
"164",666,1,0,0,0,0,0,0,0,0,0,0
"165",667,0,0,0,0,0,0,0,0,1,0,1
"166",669,1,0,0,1,0,0,1,0,0,0,0
"167",672,1,0,0,0,0,0,0,0,0,0,0
"168",674,3,2,2,2,1,0,1,0,0,0,0
"169",676,0,0,1,2,1,0,1,0,0,0,0
"170",677,1,0,0,0,1,0,1,0,0,0,0
"171",678,1,0,0,4,0,0,0,0,0,0,0
"172",680,0,0,1,2,1,1,0,0,0,0,0
